No,Calibration,CylinderVV.mat
No,Calibration,CylinderVH.mat
No,Calibration,CylinderHH.mat
No,Calibration,CylinderHV_2.mat
No,Calibration,CylinderHH_2.mat
No,Calibration,PlateVV.mat
No,Calibration,PlateVH.mat
No,Calibration,CornerVV.mat
No,Calibration,CornerVH.mat
No,Measure 1,CAN1PosHPolH.mat
No,Measure 1,CAN1PosHPolV.mat
No,Measure 2,IED1HV.mat
No,Measure 2,IED1HH.mat
No,Measure 2,IED2HV.mat
No,Measure 2,IED2HH.mat
No,Measure 2,IED3HV.mat
No,Measure 2,IED3HH.mat
No,Measure 2,IED4HV.mat
No,Measure 2,IED4HH.mat
No,Measure 2,IED5HV.mat
No,Measure 2,IED5HH.mat
No,Measure 2,IED6HV.mat
No,Measure 2,IED6HH.mat
No,Measure 2,IED7HV.mat
No,Measure 2,IED7HH.mat
No,Measure 2,IED8HV.mat
No,Measure 2,IED8HH.mat
No,Measure 2,IED9HV.mat
No,Measure 2,IED9HH.mat
No,Measure 2,IED10HV.mat
No,Measure 2,IED10HH.mat
No,Measure 2,IED11HV.mat
No,Measure 2,IED11HH.mat
No,Measure 2,IED12HV.mat
No,Measure 2,IED12HH.mat
No,Measure 2,IED13HH.mat
No,Measure 2,IED13HV.mat
No,Measure 2,IED14HV.mat
No,Measure 2,IED14HH.mat
No,Measure 2,IED15HV.mat
No,Measure 2,IED15HH.mat
No,Measure 2,IED16HV.mat
No,Measure 2,IED16HH.mat
No,Measure 2,IED18HV.mat
No,Measure 2,IED18HH.mat
No,Measure 2,IED17HV.mat
No,Measure 2,IED17HH.mat
No,Measure 2,IED19HV.mat
No,Measure 2,IED19HH.mat
No,Measure 2,IED20HV.mat
No,Measure 2,IED20HH.mat
No,Measure 2,CANHV.mat
No,Measure 2,CANHH.mat
No,Measure 3,BackGroundV_1.mat
No,Measure 3,BackGroundH_1.mat
Yes,Measure 3,IED20HV.mat
Yes,Measure 3,IED20HH.mat
Yes,Measure 3,IED19HV.mat
Yes,Measure 3,IED19HH.mat
Yes,Measure 3,IED18HV.mat
Yes,Measure 3,IED18HH.mat
Yes,Measure 3,IED15HV.mat
Yes,Measure 3,IED15HH.mat
Yes,Measure 3,IED10HV.mat
Yes,Measure 3,IED10HH.mat
Yes,Measure 3,IED12HV.mat
Yes,Measure 3,IED12HH.mat
Yes,Measure 3,IED8HV.mat
Yes,Measure 3,IED8HH.mat
Yes,Measure 3,IED6HV.mat
Yes,Measure 3,IED6HH.mat
Yes,Measure 3,IED1HV.mat
Yes,Measure 3,IED1HH.mat
Yes,Measure 3,IED5HV.mat
Yes,Measure 3,IED5HH.mat
Yes,Measure 3,IED2HV.mat
Yes,Measure 3,IED2HH.mat
Yes,Measure 3,IED7HV.mat
Yes,Measure 3,IED7HH.mat
Yes,Measure 3,IED4HV.mat
Yes,Measure 3,IED4HH.mat
Yes,Measure 3,IED14HV.mat
Yes,Measure 3,IED14HH.mat
No,Measure 3,BackGroundV_2.mat
No,Measure 3,BackGroundH_2.mat
Yes,Measure 3,IED16HV.mat
Yes,Measure 3,IED16HH.mat
Yes,Measure 3,IED11HV.mat
Yes,Measure 3,IED11HH.mat
Yes,Measure 3,IED9HV.mat
Yes,Measure 3,IED9HH.mat
Yes,Measure 3,IED3HV.mat
Yes,Measure 3,IED3HH.mat
Yes,Measure 3,IED17HV.mat
Yes,Measure 3,IED17HH.mat
